timestamp,coin_id,name,symbol,source,price_usd,volume_24h,price_change_24h,recommendation,coingecko_url
2026-09-16T20:36:08.469136,zcash,Zcash,zec,Top gainer,1336.08,2010916158.0,18.60404,DO NOTHING,https://www.coingecko.com/en/coins/zcash
2026-09-16T20:36:29.597016,lighter,Lighter,lit,Top gainer,4.54,98725583.0,10.97205,DO NOTHING,https://www.coingecko.com/en/coins/lighter
2026-09-16T20:36:50.251994,arbitrum,Arbitrum,arb,Top gainer,0.159519,566347199.0,10.61862,DO NOTHING,https://www.coingecko.com/en/coins/arbitrum
2026-09-16T20:37:12.592881,namecoin,Namecoin,nmc,Recently Added,1.004,8462.79,DO NOTHING,https://www.coingecko.com/en/coins/namecoin
2026-09-16T20:49:30.657648,dash,Dash,dash,Top gainer,56.64,168488908.0,12.09985,DO NOTHING,https://www.coingecko.com/en/coins/dash
2026-09-16T20:49:46.166462,namecoin,Namecoin,nmc,Recently Added,1.004,8380.22,DO NOTHING,https://www.coingecko.com/en/coins/namecoin
2026-09-16T21:10:54.720518,zcash,Zcash,zec,Top gainer,1355.45,2084739026.0,18.42561,DO NOTHING,https://www.coingecko.com/en/coins/zcash
2026-09-16T21:11:10.516559,arbitrum,Arbitrum,arb,Top gainer,0.163096,570261043.0,11.62895,DO NOTHING,https://www.coingecko.com/en/coins/arbitrum
2026-09-16T21:12:26.653890,primecoin,Primecoin,xpm,Recently Added,0.03409601,0.192711,DO NOTHING,https://www.coingecko.com/en/coins/primecoin
2026-09-16T21:12:59.016158,whitecoin,Whitecoin,xwc,Recently Added,0.00722345,671225,DO NOTHING,https://www.coingecko.com/en/coins/whitecoin
2026-09-16T21:29:46.911918,zcash,Zcash,zec,Top gainer,1275.85,2014844010.0,11.96672,DO NOTHING,https://www.coingecko.com/en/coins/zcash
2026-09-16T21:31:02.224635,namecoin,Namecoin,nmc,Recently Added,1.003,8279.2,DO NOTHING,https://www.coingecko.com/en/coins/namecoin
2026-09-16T21:31:16.794497,primecoin,Primecoin,xpm,Recently Added,0.03409601,0.192711,DO NOTHING,https://www.coingecko.com/en/coins/primecoin
2026-09-16T22:32:07.041986,zcash,Zcash,zec,Top gainer,1306.28,2097585854.0,16.97432,DO NOTHING,https://www.coingecko.com/en/coins/zcash
2026-09-16T22:33:21.782888,namecoin,Namecoin,nmc,Recently Added,1.002,8276.19,DO NOTHING,https://www.coingecko.com/en/coins/namecoin
2026-09-16T23:17:52.231356,near,NEAR Protocol,near,Top gainer,2.59,548057028.0,10.86451,DO NOTHING,https://www.coingecko.com/en/coins/near
2026-09-16T23:18:12.494926,namecoin,Namecoin,nmc,Recently Added,1.01,8463.93,DO NOTHING,https://www.coingecko.com/en/coins/namecoin
2026-09-16T23:23:38.189658,zcash,Zcash,zec,Top gainer,1323.84,2170651422.0,18.573,SELL,https://www.coingecko.com/en/coins/zcash
2026-09-16T23:24:58.544260,namecoin,Namecoin,nmc,Recently Added,1.01,8465.89,DO NOTHING,https://www.coingecko.com/en/coins/namecoin
2026-09-16T23:32:06.585402,zcash,Zcash,zec,Top gainer,1315.36,2157308434.0,18.05293,DO NOTHING,https://www.coingecko.com/en/coins/zcash
2026-09-16T23:32:26.743120,arbitrum,Arbitrum,arb,Top gainer,0.165654,568592576.0,14.43937,DO NOTHING,https://www.coingecko.com/en/coins/arbitrum
2026-09-16T23:32:47.188105,near,NEAR Protocol,near,Top gainer,2.59,548966780.0,11.55722,BUY,https://www.coingecko.com/en/coins/near
2026-09-16T23:41:02.969702,zcash,Zcash,zec,Top gainer,1308.6,2155116810.0,17.32853,SELL,https://www.coingecko.com/en/coins/zcash
2026-09-16T23:41:22.911731,arbitrum,Arbitrum,arb,Top gainer,0.16511,574738709.0,14.37614,DO NOTHING,https://www.coingecko.com/en/coins/arbitrum
2026-09-16T23:41:42.719042,near,NEAR Protocol,near,Top gainer,2.56,544328931.0,10.20665,DO NOTHING,https://www.coingecko.com/en/coins/near
2026-09-17T04:59:38.527333,zcash,Zcash,zec,Top gainer,1376.06,2552211739.0,22.86423,BUY,https://www.coingecko.com/en/coins/zcash
2026-09-17T05:01:00.708300,namecoin,Namecoin,nmc,Recently Added,1.008,7665.09,DO NOTHING,https://www.coingecko.com/en/coins/namecoin
2026-09-18T00:46:50.719553,marscat-token,Marscat Token,mcat,Top gainer,0.665547,12861324.0,179.03967,DO NOTHING,https://www.coingecko.com/en/coins/marscat-token
2026-09-18T01:47:46.807639,marscat-token,Marscat Token,mcat,Top gainer,0.664426,12691667.0,179.84649,DO NOTHING,https://www.coingecko.com/en/coins/marscat-token
2026-09-18T01:48:01.446468,near,NEAR Protocol,near,Top gainer,3.15,1267052006.0,20.1646,DO NOTHING,https://www.coingecko.com/en/coins/near
2026-09-18T01:49:16.923416,primecoin,Primecoin,xpm,Recently Added,0.03409601,0.192711,DO NOTHING,https://www.coingecko.com/en/coins/primecoin
2026-09-18T01:49:31.586579,whitecoin,Whitecoin,xwc,Recently Added,0.00866632,1017638,DO NOTHING,https://www.coingecko.com/en/coins/whitecoin
